iri,broader,prefLabel
http://linked.data.gov.au/def/anzsic-2006/H4400,http://linked.data.gov.au/def/anzsic-2006/H0000,Accommodation
http://linked.data.gov.au/def/anzsic-2006/H0000,,Accommodation and Food Services
http://linked.data.gov.au/def/anzsic-2006/N0000,,Administrative and Support Services
http://linked.data.gov.au/def/anzsic-2006/N7200,http://linked.data.gov.au/def/anzsic-2006/N0000,Administrative Services
http://linked.data.gov.au/def/anzsic-2006/P8200,http://linked.data.gov.au/def/anzsic-2006/P0000,"Adult, Community and Other Education"
http://linked.data.gov.au/def/anzsic-2006/M6940,http://linked.data.gov.au/def/anzsic-2006/M6900,Advertising Services
http://linked.data.gov.au/def/anzsic-2006/F3310,http://linked.data.gov.au/def/anzsic-2006/F3300,Agricultural Product Wholesaling
http://linked.data.gov.au/def/anzsic-2006/A0100,http://linked.data.gov.au/def/anzsic-2006/A0000,Agriculture
http://linked.data.gov.au/def/anzsic-2006/A0520,http://linked.data.gov.au/def/anzsic-2006/A0500,Agriculture and Fishing Support Services
http://linked.data.gov.au/def/anzsic-2006/A0000,,"Agriculture, Forestry and Fishing"
http://linked.data.gov.au/def/anzsic-2006/A0500,http://linked.data.gov.au/def/anzsic-2006/A0000,"Agriculture, Forestry and Fishing Support Services"
http://linked.data.gov.au/def/anzsic-2006/I4900,http://linked.data.gov.au/def/anzsic-2006/I0000,Air and Space Transport
http://linked.data.gov.au/def/anzsic-2006/I5220,http://linked.data.gov.au/def/anzsic-2006/I5200,Airport Operations and Other Air Transport Support Services
http://linked.data.gov.au/def/anzsic-2006/Q8530,http://linked.data.gov.au/def/anzsic-2006/Q8500,Allied Health Services
http://linked.data.gov.au/def/anzsic-2006/R9130,http://linked.data.gov.au/def/anzsic-2006/R9100,Amusement and Other Recreation Activities
http://linked.data.gov.au/def/anzsic-2006/A0200,http://linked.data.gov.au/def/anzsic-2006/A0000,Aquaculture
http://linked.data.gov.au/def/anzsic-2006/M6920,http://linked.data.gov.au/def/anzsic-2006/M6900,"Architectural, Engineering and Technical Services"
http://linked.data.gov.au/def/anzsic-2006/R0000,,Arts and Recreation Services
http://linked.data.gov.au/def/anzsic-2006/S9410,http://linked.data.gov.au/def/anzsic-2006/S9400,Automotive Repair and Maintenance
http://linked.data.gov.au/def/anzsic-2006/K6400,http://linked.data.gov.au/def/anzsic-2006/K0000,Auxiliary Finance and Insurance Services
http://linked.data.gov.au/def/anzsic-2006/K6410,http://linked.data.gov.au/def/anzsic-2006/K6400,Auxiliary Finance and Investment Services
http://linked.data.gov.au/def/anzsic-2006/K6420,http://linked.data.gov.au/def/anzsic-2006/K6400,Auxiliary Insurance Services
http://linked.data.gov.au/def/anzsic-2006/C1170,http://linked.data.gov.au/def/anzsic-2006/C1100,Bakery Product Manufacturing
http://linked.data.gov.au/def/anzsic-2006/C1800,http://linked.data.gov.au/def/anzsic-2006/C0000,Basic Chemical and Chemical Product Manufacturing
http://linked.data.gov.au/def/anzsic-2006/C1810,http://linked.data.gov.au/def/anzsic-2006/C1800,Basic Chemical Manufacturing
http://linked.data.gov.au/def/anzsic-2006/C2110,http://linked.data.gov.au/def/anzsic-2006/C2100,Basic Ferrous Metal Manufacturing
http://linked.data.gov.au/def/anzsic-2006/C2120,http://linked.data.gov.au/def/anzsic-2006/C2100,Basic Ferrous Metal Product Manufacturing
http://linked.data.gov.au/def/anzsic-2006/F3300,http://linked.data.gov.au/def/anzsic-2006/F0000,Basic Material Wholesaling
http://linked.data.gov.au/def/anzsic-2006/C2130,http://linked.data.gov.au/def/anzsic-2006/C2100,Basic Non-Ferrous Metal Manufacturing
http://linked.data.gov.au/def/anzsic-2006/C2140,http://linked.data.gov.au/def/anzsic-2006/C2100,Basic Non-Ferrous Metal Product Manufacturing
http://linked.data.gov.au/def/anzsic-2006/C1820,http://linked.data.gov.au/def/anzsic-2006/C1800,Basic Polymer Manufacturing
http://linked.data.gov.au/def/anzsic-2006/C1200,http://linked.data.gov.au/def/anzsic-2006/C0000,Beverage and Tobacco Product Manufacturing
http://linked.data.gov.au/def/anzsic-2006/C1210,http://linked.data.gov.au/def/anzsic-2006/C1200,Beverage Manufacturing
http://linked.data.gov.au/def/anzsic-2006/J5600,http://linked.data.gov.au/def/anzsic-2006/J0000,Broadcasting (except Internet)
http://linked.data.gov.au/def/anzsic-2006/N7310,http://linked.data.gov.au/def/anzsic-2006/N7300,"Building Cleaning, Pest Control and Gardening Services"
http://linked.data.gov.au/def/anzsic-2006/N7300,http://linked.data.gov.au/def/anzsic-2006/N0000,"Building Cleaning, Pest Control and Other Support Services"
http://linked.data.gov.au/def/anzsic-2006/E3240,http://linked.data.gov.au/def/anzsic-2006/E3200,Building Completion Services
http://linked.data.gov.au/def/anzsic-2006/E3000,http://linked.data.gov.au/def/anzsic-2006/E0000,Building Construction
http://linked.data.gov.au/def/anzsic-2006/E3230,http://linked.data.gov.au/def/anzsic-2006/E3200,Building Installation Services
http://linked.data.gov.au/def/anzsic-2006/E3220,http://linked.data.gov.au/def/anzsic-2006/E3200,Building Structure Services
http://linked.data.gov.au/def/anzsic-2006/H4510,http://linked.data.gov.au/def/anzsic-2006/H4500,"Cafes, Restaurants and Takeaway Food Services"
http://linked.data.gov.au/def/anzsic-2006/C2030,http://linked.data.gov.au/def/anzsic-2006/C2000,"Cement, Lime, Plaster and Concrete Product Manufacturing"
http://linked.data.gov.au/def/anzsic-2006/K6210,http://linked.data.gov.au/def/anzsic-2006/K6200,Central Banking
http://linked.data.gov.au/def/anzsic-2006/O7510,http://linked.data.gov.au/def/anzsic-2006/O7500,Central Government Administration
http://linked.data.gov.au/def/anzsic-2006/C2020,http://linked.data.gov.au/def/anzsic-2006/C2000,Ceramic Product Manufacturing
http://linked.data.gov.au/def/anzsic-2006/Q8710,http://linked.data.gov.au/def/anzsic-2006/Q8700,Child Care Services
http://linked.data.gov.au/def/anzsic-2006/C1220,http://linked.data.gov.au/def/anzsic-2006/C1200,Cigarette and Tobacco Product Manufacturing
http://linked.data.gov.au/def/anzsic-2006/S9550,http://linked.data.gov.au/def/anzsic-2006/S9500,"Civic, Professional and Other Interest Group Services"
http://linked.data.gov.au/def/anzsic-2006/C1850,http://linked.data.gov.au/def/anzsic-2006/C1800,Cleaning Compound and Toiletry Preparation Manufacturing
http://linked.data.gov.au/def/anzsic-2006/C1350,http://linked.data.gov.au/def/anzsic-2006/C1300,Clothing and Footwear Manufacturing
http://linked.data.gov.au/def/anzsic-2006/G4250,http://linked.data.gov.au/def/anzsic-2006/G4200,"Clothing, Footwear and Personal Accessory Retailing"
http://linked.data.gov.au/def/anzsic-2006/H4530,http://linked.data.gov.au/def/anzsic-2006/H4500,Clubs (Hospitality)
http://linked.data.gov.au/def/anzsic-2006/B0600,http://linked.data.gov.au/def/anzsic-2006/B0000,Coal Mining
http://linked.data.gov.au/def/anzsic-2006/F3800,http://linked.data.gov.au/def/anzsic-2006/F0000,Commission-Based Wholesaling
http://linked.data.gov.au/def/anzsic-2006/C2420,http://linked.data.gov.au/def/anzsic-2006/C2400,Computer and Electronic Equipment Manufacturing
http://linked.data.gov.au/def/anzsic-2006/M7000,http://linked.data.gov.au/def/anzsic-2006/M0000,Computer System Design and Related Services
http://linked.data.gov.au/def/anzsic-2006/E0000,,Construction
http://linked.data.gov.au/def/anzsic-2006/B0910,http://linked.data.gov.au/def/anzsic-2006/B0900,Construction Material Mining
http://linked.data.gov.au/def/anzsic-2006/E3200,http://linked.data.gov.au/def/anzsic-2006/E0000,Construction Services
http://linked.data.gov.au/def/anzsic-2006/C1520,http://linked.data.gov.au/def/anzsic-2006/C1500,Converted Paper Product Manufacturing
http://linked.data.gov.au/def/anzsic-2006/R9000,http://linked.data.gov.au/def/anzsic-2006/R0000,Creative and Performing Arts Activities
http://linked.data.gov.au/def/anzsic-2006/A0160,http://linked.data.gov.au/def/anzsic-2006/A0100,Dairy Cattle Farming
http://linked.data.gov.au/def/anzsic-2006/C1130,http://linked.data.gov.au/def/anzsic-2006/C1100,Dairy Product Manufacturing
http://linked.data.gov.au/def/anzsic-2006/J5920,http://linked.data.gov.au/def/anzsic-2006/J5900,"Data Processing, Web Hosting and Electronic Information Storage Services"
http://linked.data.gov.au/def/anzsic-2006/A0180,http://linked.data.gov.au/def/anzsic-2006/A0100,Deer Farming
http://linked.data.gov.au/def/anzsic-2006/O7600,http://linked.data.gov.au/def/anzsic-2006/O0000,Defence
http://linked.data.gov.au/def/anzsic-2006/G4260,http://linked.data.gov.au/def/anzsic-2006/G4200,Department Stores
http://linked.data.gov.au/def/anzsic-2006/K6220,http://linked.data.gov.au/def/anzsic-2006/K6200,Depository Financial Intermediation
http://linked.data.gov.au/def/anzsic-2006/C2440,http://linked.data.gov.au/def/anzsic-2006/C2400,Domestic Appliance Manufacturing
http://linked.data.gov.au/def/anzsic-2006/P0000,,Education and Training
http://linked.data.gov.au/def/anzsic-2006/P8220,http://linked.data.gov.au/def/anzsic-2006/P8200,Educational Support Services
http://linked.data.gov.au/def/anzsic-2006/G4220,http://linked.data.gov.au/def/anzsic-2006/G4200,Electrical and Electronic Goods Retailing
http://linked.data.gov.au/def/anzsic-2006/C2430,http://linked.data.gov.au/def/anzsic-2006/C2400,Electrical Equipment Manufacturing
http://linked.data.gov.au/def/anzsic-2006/D2630,http://linked.data.gov.au/def/anzsic-2006/D2600,Electricity Distribution
http://linked.data.gov.au/def/anzsic-2006/D2610,http://linked.data.gov.au/def/anzsic-2006/D2600,Electricity Generation
http://linked.data.gov.au/def/anzsic-2006/D2600,http://linked.data.gov.au/def/anzsic-2006/D0000,Electricity Supply
http://linked.data.gov.au/def/anzsic-2006/D2620,http://linked.data.gov.au/def/anzsic-2006/D2600,Electricity Transmission
http://linked.data.gov.au/def/anzsic-2006/D0000,,"Electricity, Gas, Water and Waste Services"
http://linked.data.gov.au/def/anzsic-2006/N7210,http://linked.data.gov.au/def/anzsic-2006/N7200,Employment Services
http://linked.data.gov.au/def/anzsic-2006/B1010,http://linked.data.gov.au/def/anzsic-2006/B1000,Exploration
http://linked.data.gov.au/def/anzsic-2006/B1000,http://linked.data.gov.au/def/anzsic-2006/B0000,Exploration and Other Mining Support Services
http://linked.data.gov.au/def/anzsic-2006/C2200,http://linked.data.gov.au/def/anzsic-2006/C0000,Fabricated Metal Product Manufacturing
http://linked.data.gov.au/def/anzsic-2006/L6620,http://linked.data.gov.au/def/anzsic-2006/L6600,Farm Animal and Bloodstock Leasing
http://linked.data.gov.au/def/anzsic-2006/C1830,http://linked.data.gov.au/def/anzsic-2006/C1800,Fertiliser and Pesticide Manufacturing
http://linked.data.gov.au/def/anzsic-2006/K6200,http://linked.data.gov.au/def/anzsic-2006/K0000,Finance
http://linked.data.gov.au/def/anzsic-2006/K0000,,Financial and Insurance Services
http://linked.data.gov.au/def/anzsic-2006/K6240,http://linked.data.gov.au/def/anzsic-2006/K6200,Financial Asset Investing
http://linked.data.gov.au/def/anzsic-2006/A0410,http://linked.data.gov.au/def/anzsic-2006/A0400,Fishing
http://linked.data.gov.au/def/anzsic-2006/A0400,http://linked.data.gov.au/def/anzsic-2006/A0000,"Fishing, Hunting and Trapping"
http://linked.data.gov.au/def/anzsic-2006/H4500,http://linked.data.gov.au/def/anzsic-2006/H0000,Food and Beverage Services
http://linked.data.gov.au/def/anzsic-2006/C1100,http://linked.data.gov.au/def/anzsic-2006/C0000,Food Product Manufacturing
http://linked.data.gov.au/def/anzsic-2006/G4100,http://linked.data.gov.au/def/anzsic-2006/G0000,Food Retailing
http://linked.data.gov.au/def/anzsic-2006/A0300,http://linked.data.gov.au/def/anzsic-2006/A0000,Forestry and Logging
http://linked.data.gov.au/def/anzsic-2006/A0510,http://linked.data.gov.au/def/anzsic-2006/A0500,Forestry Support Services
http://linked.data.gov.au/def/anzsic-2006/A0130,http://linked.data.gov.au/def/anzsic-2006/A0100,Fruit and Tree Nut Growing
http://linked.data.gov.au/def/anzsic-2006/C1140,http://linked.data.gov.au/def/anzsic-2006/C1100,Fruit and Vegetable Processing
http://linked.data.gov.au/def/anzsic-2006/G4000,http://linked.data.gov.au/def/anzsic-2006/G0000,Fuel Retailing
http://linked.data.gov.au/def/anzsic-2006/S9520,http://linked.data.gov.au/def/anzsic-2006/S9500,"Funeral, Crematorium and Cemetery Services"
http://linked.data.gov.au/def/anzsic-2006/C2500,http://linked.data.gov.au/def/anzsic-2006/C0000,Furniture and Other Manufacturing
http://linked.data.gov.au/def/anzsic-2006/C2510,http://linked.data.gov.au/def/anzsic-2006/C2500,Furniture Manufacturing
http://linked.data.gov.au/def/anzsic-2006/F3730,http://linked.data.gov.au/def/anzsic-2006/F3700,"Furniture, Floor Covering and Other Goods Wholesaling"
http://linked.data.gov.au/def/anzsic-2006/G4210,http://linked.data.gov.au/def/anzsic-2006/G4200,"Furniture, Floor Coverings, Houseware and Textile Goods Retailing"
http://linked.data.gov.au/def/anzsic-2006/R9200,http://linked.data.gov.au/def/anzsic-2006/R0000,Gambling Activities
http://linked.data.gov.au/def/anzsic-2006/D2700,http://linked.data.gov.au/def/anzsic-2006/D0000,Gas Supply
http://linked.data.gov.au/def/anzsic-2006/C2010,http://linked.data.gov.au/def/anzsic-2006/C2000,Glass and Glass Product Manufacturing
http://linked.data.gov.au/def/anzsic-2006/O7550,http://linked.data.gov.au/def/anzsic-2006/O7500,Government Representation
http://linked.data.gov.au/def/anzsic-2006/C1160,http://linked.data.gov.au/def/anzsic-2006/C1100,Grain Mill and Cereal Product Manufacturing
http://linked.data.gov.au/def/anzsic-2006/F3600,http://linked.data.gov.au/def/anzsic-2006/F0000,"Grocery, Liquor and Tobacco Product Wholesaling"
http://linked.data.gov.au/def/anzsic-2006/G4230,http://linked.data.gov.au/def/anzsic-2006/G4200,"Hardware, Building and Garden Supplies Retailing"
http://linked.data.gov.au/def/anzsic-2006/K6320,http://linked.data.gov.au/def/anzsic-2006/K6300,Health and General Insurance
http://linked.data.gov.au/def/anzsic-2006/Q0000,,Health Care and Social Assistance
http://linked.data.gov.au/def/anzsic-2006/E3100,http://linked.data.gov.au/def/anzsic-2006/E0000,Heavy and Civil Engineering Construction
http://linked.data.gov.au/def/anzsic-2006/R8900,http://linked.data.gov.au/def/anzsic-2006/R0000,Heritage Activities
http://linked.data.gov.au/def/anzsic-2006/R9120,http://linked.data.gov.au/def/anzsic-2006/R9100,Horse and Dog Racing Activities
http://linked.data.gov.au/def/anzsic-2006/Q8400,http://linked.data.gov.au/def/anzsic-2006/Q0000,Hospitals
http://linked.data.gov.au/def/anzsic-2006/A0420,http://linked.data.gov.au/def/anzsic-2006/A0400,Hunting and Trapping
http://linked.data.gov.au/def/anzsic-2006/J0000,,Information Media and Telecommunications
http://linked.data.gov.au/def/anzsic-2006/K6300,http://linked.data.gov.au/def/anzsic-2006/K0000,Insurance and Superannuation Funds
http://linked.data.gov.au/def/anzsic-2006/J5700,http://linked.data.gov.au/def/anzsic-2006/J0000,Internet Publishing and Broadcasting
http://linked.data.gov.au/def/anzsic-2006/J5910,http://linked.data.gov.au/def/anzsic-2006/J5900,Internet Service Providers and Web Search Portals
http://linked.data.gov.au/def/anzsic-2006/J5900,http://linked.data.gov.au/def/anzsic-2006/J0000,"Internet Service Providers, Web Search Portals and Data Processing Services"
http://linked.data.gov.au/def/anzsic-2006/C2210,http://linked.data.gov.au/def/anzsic-2006/C2200,Iron and Steel Forging
http://linked.data.gov.au/def/anzsic-2006/O7540,http://linked.data.gov.au/def/anzsic-2006/O7500,Justice
http://linked.data.gov.au/def/anzsic-2006/C1340,http://linked.data.gov.au/def/anzsic-2006/C1300,Knitted Product Manufacturing
http://linked.data.gov.au/def/anzsic-2006/E3210,http://linked.data.gov.au/def/anzsic-2006/E3200,Land Development and Site Preparation Services
http://linked.data.gov.au/def/anzsic-2006/C1320,http://linked.data.gov.au/def/anzsic-2006/C1300,"Leather Tanning, Fur Dressing and Leather Product Manufacturing"
http://linked.data.gov.au/def/anzsic-2006/M6930,http://linked.data.gov.au/def/anzsic-2006/M6900,Legal and Accounting Services
http://linked.data.gov.au/def/anzsic-2006/J6010,http://linked.data.gov.au/def/anzsic-2006/J6000,Libraries and Archives
http://linked.data.gov.au/def/anzsic-2006/J6000,http://linked.data.gov.au/def/anzsic-2006/J0000,Library and Other Information Services
http://linked.data.gov.au/def/anzsic-2006/K6310,http://linked.data.gov.au/def/anzsic-2006/K6300,Life Insurance
http://linked.data.gov.au/def/anzsic-2006/O7530,http://linked.data.gov.au/def/anzsic-2006/O7500,Local Government Administration
http://linked.data.gov.au/def/anzsic-2006/C1410,http://linked.data.gov.au/def/anzsic-2006/C1400,Log Sawmilling and Timber Dressing
http://linked.data.gov.au/def/anzsic-2006/C2400,http://linked.data.gov.au/def/anzsic-2006/C0000,Machinery and Equipment Manufacturing
http://linked.data.gov.au/def/anzsic-2006/S9420,http://linked.data.gov.au/def/anzsic-2006/S9400,Machinery and Equipment Repair and Maintenance
http://linked.data.gov.au/def/anzsic-2006/F3400,http://linked.data.gov.au/def/anzsic-2006/F0000,Machinery and Equipment Wholesaling
http://linked.data.gov.au/def/anzsic-2006/M6960,http://linked.data.gov.au/def/anzsic-2006/M6900,Management and Related Consulting Services
http://linked.data.gov.au/def/anzsic-2006/C0000,,Manufacturing
http://linked.data.gov.au/def/anzsic-2006/M6950,http://linked.data.gov.au/def/anzsic-2006/M6900,Market Research and Statistical Services
http://linked.data.gov.au/def/anzsic-2006/C1110,http://linked.data.gov.au/def/anzsic-2006/C1100,Meat and Meat Product Manufacturing
http://linked.data.gov.au/def/anzsic-2006/Q8500,http://linked.data.gov.au/def/anzsic-2006/Q0000,Medical and Other Health Care Services
http://linked.data.gov.au/def/anzsic-2006/Q8510,http://linked.data.gov.au/def/anzsic-2006/Q8500,Medical Services
http://linked.data.gov.au/def/anzsic-2006/C2230,http://linked.data.gov.au/def/anzsic-2006/C2200,Metal Container Manufacturing
http://linked.data.gov.au/def/anzsic-2006/B0800,http://linked.data.gov.au/def/anzsic-2006/B0000,Metal Ore Mining
http://linked.data.gov.au/def/anzsic-2006/F3320,http://linked.data.gov.au/def/anzsic-2006/F3300,"Mineral, Metal and Chemical Wholesaling"
http://linked.data.gov.au/def/anzsic-2006/B0000,,Mining
http://linked.data.gov.au/def/anzsic-2006/J5500,http://linked.data.gov.au/def/anzsic-2006/J0000,Motion Picture and Sound Recording Activities
http://linked.data.gov.au/def/anzsic-2006/J5510,http://linked.data.gov.au/def/anzsic-2006/J5500,Motion Picture and Video Activities
http://linked.data.gov.au/def/anzsic-2006/C2310,http://linked.data.gov.au/def/anzsic-2006/C2300,Motor Vehicle and Motor Vehicle Part Manufacturing
