iri,label,link
https://linked.data.gov.au/def/alteration-form,Alteration form,/catalogs/catalogue:gswa-vocabs/collections/alteration-form
https://linked.data.gov.au/def/alteration-intensity,Alteration intensity,/catalogs/catalogue:gswa-vocabs/collections/alteration-intensity
https://linked.data.gov.au/def/alteration-type,Alteration type,/catalogs/catalogue:gswa-vocabs/collections/alteration-type
http://linked.data.gov.au/def/anzsic-2006,Australian and New Zealand Standard Industrial Classification 2006 - Codes and Titles,/catalogs/catalogue:gswa-vocabs/collections/anzsic-2006
https://linked.data.gov.au/def/australian-physiographic-units,Australian physiographic units,/catalogs/catalogue:gswa-vocabs/collections/australian-physiographic-units
https://linked.data.gov.au/def/borehole-configuration,Borehole configuration,/catalogs/catalogue:gswa-vocabs/collections/borehole-configuration
https://linked.data.gov.au/def/borehole-drilling-method-western-australia,Borehole drilling method,/catalogs/catalogue:gswa-vocabs/collections/borehole-drilling-method-western-australia
https://linked.data.gov.au/def/borehole-geometry,Borehole geometry,/catalogs/catalogue:gswa-vocabs/collections/borehole-geometry
https://linked.data.gov.au/def/borehole-purpose-wa,Borehole purpose,/catalogs/catalogue:gswa-vocabs/collections/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-start-point-setting,Borehole start point setting,/catalogs/catalogue:gswa-vocabs/collections/borehole-start-point-setting
https://linked.data.gov.au/def/borehole-status-wa,Borehole status,/catalogs/catalogue:gswa-vocabs/collections/borehole-status-wa
http://pid.suncorp.com.au/def/brand,Brand,/catalogs/catalogue:gswa-vocabs/collections/brand
https://linked.data.gov.au/def/CRIRSCO-mineral-resource-reporting,CRIRSCO mineral resource reporting,/catalogs/catalogue:gswa-vocabs/collections/CRIRSCO-mineral-resource-reporting
https://linked.data.gov.au/def/dmirs-offices,DEMIRS offices,/catalogs/catalogue:gswa-vocabs/collections/dmirs-offices
https://linked.data.gov.au/def/earthsci-for,Earth science fields of research,/catalogs/catalogue:gswa-vocabs/collections/earthsci-for
https://linked.data.gov.au/def/geological-feature-type,Geological feature type,/catalogs/catalogue:gswa-vocabs/collections/geological-feature-type
https://linked.data.gov.au/def/geological-sample-type,Geological sample type,/catalogs/catalogue:gswa-vocabs/collections/geological-sample-type
https://linked.data.gov.au/def/uom-geoscience,Geoscience units of measurement,/catalogs/catalogue:gswa-vocabs/collections/uom-geoscience
https://linked.data.gov.au/def/gswa-collection-facilities,GSWA collection facilities,/catalogs/catalogue:gswa-vocabs/collections/gswa-collection-facilities
https://linked.data.gov.au/def/gswa-rock-classification-scheme,GSWA rock classification scheme,/catalogs/catalogue:gswa-vocabs/collections/gswa-rock-classification-scheme
https://linked.data.gov.au/def/gswa-vocabulary-themes,GSWA vocabulary themes,/catalogs/catalogue:gswa-vocabs/collections/gswa-vocabulary-themes
http://resource.geosciml.org/classifier/ics/ischart,International Chronostratigraphic Chart,/catalogs/catalogue:gswa-vocabs/collections/ischart
https://linked.data.gov.au/def/JORC-Code,JORC Code,/catalogs/catalogue:gswa-vocabs/collections/JORC-Code
https://linked.data.gov.au/def/location-method,Location method,/catalogs/catalogue:gswa-vocabs/collections/location-method
https://linked.data.gov.au/def/metamorphic-facies,Metamorphic facies,/catalogs/catalogue:gswa-vocabs/collections/metamorphic-facies
https://linked.data.gov.au/def/metamorphic-P-T-trajectory,Metamorphic Pâ€“T trajectory,/catalogs/catalogue:gswa-vocabs/collections/metamorphic-P-T-trajectory
https://linked.data.gov.au/def/metamorphic-stage,Metamorphic stage,/catalogs/catalogue:gswa-vocabs/collections/metamorphic-stage
https://linked.data.gov.au/def/metamorphic-thermal-regime,Metamorphic thermal regime style,/catalogs/catalogue:gswa-vocabs/collections/metamorphic-thermal-regime
https://linked.data.gov.au/def/physiographic-unit-types,Physiographic unit types,/catalogs/catalogue:gswa-vocabs/collections/physiographic-unit-types
https://linked.data.gov.au/def/sample-data-quality-management,Sample data quality management,/catalogs/catalogue:gswa-vocabs/collections/sample-data-quality-management
https://linked.data.gov.au/def/sample-condition,Sample/specimen condition,/catalogs/catalogue:gswa-vocabs/collections/sample-condition
https://linked.data.gov.au/def/sample-curation-status,Sample/specimen curation status,/catalogs/catalogue:gswa-vocabs/collections/sample-curation-status
https://linked.data.gov.au/def/sample-nomenclature-publication-status,Sample/specimen nomenclature and publication status,/catalogs/catalogue:gswa-vocabs/collections/sample-nomenclature-publication-status
https://linked.data.gov.au/def/tectonic-unit-type,Tectonic unit type,/catalogs/catalogue:gswa-vocabs/collections/tectonic-unit-type
https://linked.data.gov.au/def/vertical-depth-reference-systems,Vertical/depth reference systems,/catalogs/catalogue:gswa-vocabs/collections/vertical-depth-reference-systems
https://linked.data.gov.au/def/wa-coordinate-reference-systems,Western Australian coordinate reference systems,/catalogs/catalogue:gswa-vocabs/collections/wa-coordinate-reference-systems
https://linked.data.gov.au/def/wa-mineral-fields-and-districts,Western Australian mineral fields and districts,/catalogs/catalogue:gswa-vocabs/collections/wa-mineral-fields-and-districts